discount_factor,learning_rate,episodes,iterations,average_steps,average_reward
0.5,0.1,10,50,200.0,-774.56
0.5,0.1,10,100,200.0,-935.5700000000003
0.5,0.1,50,50,200.0,-236.0
0.5,0.1,50,100,200.0,-343.64
0.5,0.1,100,50,200.0,-307.28
0.5,0.1,100,100,200.0,-289.01
0.5,0.1,500,50,200.0,-200.0
0.5,0.1,500,100,198.06,-191.12789999999998
0.5,0.1,1000,50,184.66,-145.88139999999996
0.5,0.1,1000,100,177.1,-127.55493333333335
0.5,0.1,5000,50,102.22,-5.519820431235426
0.5,0.1,5000,100,91.09,3.027017310606051
0.5,0.1,10000,50,46.68,17.18856586178528
0.5,0.1,10000,100,35.31,18.265721547987617
0.5,0.01,10,50,200.0,-990.2000000000003
0.5,0.01,10,100,200.0,-846.29
0.5,0.01,50,50,200.0,-883.1000000000001
0.5,0.01,50,100,200.0,-577.3700000000001
0.5,0.01,100,50,200.0,-379.64000000000004
0.5,0.01,100,100,200.0,-325.55
0.5,0.01,500,50,200.0,-236.0
0.5,0.01,500,100,200.0,-307.90999999999997
0.5,0.01,1000,50,200.0,-200.0
0.5,0.01,1000,100,200.0,-235.55
0.5,0.01,5000,50,196.12,-182.3916
0.5,0.01,5000,100,200.0,-200.0
0.5,0.01,10000,50,173.28,-116.67520000000002
0.5,0.01,10000,100,182.83,-144.52295977272732
0.9,0.1,10,50,200.0,-736.7600000000001
0.9,0.1,10,100,200.0,-720.56
0.9,0.1,50,50,200.0,-487.1
0.9,0.1,50,100,200.0,-343.28
0.9,0.1,100,50,200.0,-272.0
0.9,0.1,100,100,200.0,-343.54999999999995
0.9,0.1,500,50,176.92,-243.601148
0.9,0.1,500,100,192.3,-222.013555
0.9,0.1,1000,50,113.3,-14.771718589743585
0.9,0.1,1000,100,131.85,-95.97438335664336
0.9,0.1,5000,50,13.16,9.051985461401346
0.9,0.1,5000,100,12.85,9.3381307238105
0.9,0.1,10000,50,13.5,8.264870577951461
0.9,0.1,10000,100,13.1,8.872622321061288
0.9,0.01,10,50,200.0,-774.9200000000002
0.9,0.01,10,100,200.0,-954.1999999999999
0.9,0.01,50,50,200.0,-594.0199999999999
0.9,0.01,50,100,200.0,-683.9300000000001
0.9,0.01,100,50,200.0,-415.09999999999997
0.9,0.01,100,100,200.0,-487.19
0.9,0.01,500,50,200.0,-271.82
0.9,0.01,500,100,200.0,-343.55
0.9,0.01,1000,50,200.0,-343.46
0.9,0.01,1000,100,200.0,-325.90999999999997
0.9,0.01,5000,50,173.14,-171.93956266666666
0.9,0.01,5000,100,188.51,-193.5512143939394
0.9,0.01,10000,50,131.92,-59.05015955244753
0.9,0.01,10000,100,114.81,-20.16527924825175
