discount_factor,learning_rate,episodes,decay,iterations,average_steps,average_reward
0.5,0.1,10,0.0,50,200.0,-200.0
0.5,0.1,10,0.0,100,200.0,-200.0
0.5,0.1,10,0.005,50,200.0,-200.0
0.5,0.1,10,0.005,100,200.0,-200.0
0.5,0.1,10,0.05,50,200.0,-200.0
0.5,0.1,10,0.05,100,200.0,-200.0
0.5,0.1,50,0.0,50,200.0,-200.0
0.5,0.1,50,0.0,100,200.0,-200.0
0.5,0.1,50,0.005,50,200.0,-200.0
0.5,0.1,50,0.005,100,200.0,-200.0
0.5,0.1,50,0.05,50,200.0,-200.0
0.5,0.1,50,0.05,100,200.0,-200.0
0.5,0.1,100,0.0,50,200.0,-200.0
0.5,0.1,100,0.0,100,200.0,-200.0
0.5,0.1,100,0.005,50,200.0,-200.0
0.5,0.1,100,0.005,100,200.0,-200.0
0.5,0.1,100,0.05,50,200.0,-200.0
0.5,0.1,100,0.05,100,200.0,-200.0
0.5,0.1,500,0.0,50,200.0,-200.0
0.5,0.1,500,0.0,100,200.0,-200.0
0.5,0.1,500,0.005,50,200.0,-200.0
0.5,0.1,500,0.005,100,200.0,-200.0
0.5,0.1,500,0.05,50,200.0,-200.0
0.5,0.1,500,0.05,100,200.0,-200.0
0.5,0.1,1000,0.0,50,200.0,-200.0
0.5,0.1,1000,0.0,100,197.86,-197.86
0.5,0.1,1000,0.005,50,196.62,-196.62
0.5,0.1,1000,0.005,100,191.2,-191.2
0.5,0.1,1000,0.05,50,200.0,-200.0
0.5,0.1,1000,0.05,100,200.0,-200.0
0.5,0.1,5000,0.0,50,200.0,-200.0
0.5,0.1,5000,0.0,100,200.0,-200.0
0.5,0.1,5000,0.005,50,200.0,-200.0
0.5,0.1,5000,0.005,100,200.0,-200.0
0.5,0.1,5000,0.05,50,198.06,-198.06
0.5,0.1,5000,0.05,100,200.0,-200.0
0.5,0.1,10000,0.0,50,200.0,-200.0
0.5,0.1,10000,0.0,100,200.0,-200.0
0.5,0.1,10000,0.005,50,172.72,-172.72
0.5,0.1,10000,0.005,100,199.96,-199.96
0.5,0.1,10000,0.05,50,200.0,-200.0
0.5,0.1,10000,0.05,100,200.0,-200.0
0.5,0.01,10,0.0,50,200.0,-200.0
0.5,0.01,10,0.0,100,200.0,-200.0
0.5,0.01,10,0.005,50,200.0,-200.0
0.5,0.01,10,0.005,100,200.0,-200.0
0.5,0.01,10,0.05,50,200.0,-200.0
0.5,0.01,10,0.05,100,200.0,-200.0
0.5,0.01,50,0.0,50,200.0,-200.0
0.5,0.01,50,0.0,100,200.0,-200.0
0.5,0.01,50,0.005,50,200.0,-200.0
0.5,0.01,50,0.005,100,200.0,-200.0
0.5,0.01,50,0.05,50,200.0,-200.0
0.5,0.01,50,0.05,100,200.0,-200.0
0.5,0.01,100,0.0,50,200.0,-200.0
0.5,0.01,100,0.0,100,200.0,-200.0
0.5,0.01,100,0.005,50,200.0,-200.0
0.5,0.01,100,0.005,100,200.0,-200.0
0.5,0.01,100,0.05,50,200.0,-200.0
0.5,0.01,100,0.05,100,200.0,-200.0
0.5,0.01,500,0.0,50,200.0,-200.0
0.5,0.01,500,0.0,100,200.0,-200.0
0.5,0.01,500,0.005,50,200.0,-200.0
0.5,0.01,500,0.005,100,200.0,-200.0
0.5,0.01,500,0.05,50,200.0,-200.0
0.5,0.01,500,0.05,100,200.0,-200.0
0.5,0.01,1000,0.0,50,200.0,-200.0
0.5,0.01,1000,0.0,100,200.0,-200.0
0.5,0.01,1000,0.005,50,200.0,-200.0
0.5,0.01,1000,0.005,100,200.0,-200.0
0.5,0.01,1000,0.05,50,200.0,-200.0
0.5,0.01,1000,0.05,100,200.0,-200.0
0.5,0.01,5000,0.0,50,200.0,-200.0
0.5,0.01,5000,0.0,100,193.25,-193.25
0.5,0.01,5000,0.005,50,200.0,-200.0
0.5,0.01,5000,0.005,100,200.0,-200.0
0.5,0.01,5000,0.05,50,197.12,-197.12
0.5,0.01,5000,0.05,100,200.0,-200.0
0.5,0.01,10000,0.0,50,200.0,-200.0
0.5,0.01,10000,0.0,100,176.98,-176.98
0.5,0.01,10000,0.005,50,170.14,-170.14
0.5,0.01,10000,0.005,100,200.0,-200.0
0.5,0.01,10000,0.05,50,200.0,-200.0
0.5,0.01,10000,0.05,100,144.12,-144.12
0.9,0.1,10,0.0,50,200.0,-200.0
0.9,0.1,10,0.0,100,200.0,-200.0
0.9,0.1,10,0.005,50,200.0,-200.0
0.9,0.1,10,0.005,100,200.0,-200.0
0.9,0.1,10,0.05,50,200.0,-200.0
0.9,0.1,10,0.05,100,200.0,-200.0
0.9,0.1,50,0.0,50,200.0,-200.0
0.9,0.1,50,0.0,100,200.0,-200.0
0.9,0.1,50,0.005,50,200.0,-200.0
0.9,0.1,50,0.005,100,200.0,-200.0
0.9,0.1,50,0.05,50,200.0,-200.0
0.9,0.1,50,0.05,100,200.0,-200.0
0.9,0.1,100,0.0,50,200.0,-200.0
0.9,0.1,100,0.0,100,200.0,-200.0
0.9,0.1,100,0.005,50,199.66,-199.66
0.9,0.1,100,0.005,100,200.0,-200.0
0.9,0.1,100,0.05,50,200.0,-200.0
0.9,0.1,100,0.05,100,200.0,-200.0
0.9,0.1,500,0.0,50,200.0,-200.0
0.9,0.1,500,0.0,100,200.0,-200.0
0.9,0.1,500,0.005,50,200.0,-200.0
0.9,0.1,500,0.005,100,200.0,-200.0
0.9,0.1,500,0.05,50,200.0,-200.0
0.9,0.1,500,0.05,100,200.0,-200.0
0.9,0.1,1000,0.0,50,200.0,-200.0
0.9,0.1,1000,0.0,100,174.35,-174.35
0.9,0.1,1000,0.005,50,190.7,-190.7
0.9,0.1,1000,0.005,100,182.19,-182.19
0.9,0.1,1000,0.05,50,200.0,-200.0
0.9,0.1,1000,0.05,100,173.17,-173.17
0.9,0.1,5000,0.0,50,169.28,-169.28
0.9,0.1,5000,0.0,100,199.4,-199.4
0.9,0.1,5000,0.005,50,152.26,-152.26
0.9,0.1,5000,0.005,100,200.0,-200.0
0.9,0.1,5000,0.05,50,146.2,-146.2
0.9,0.1,5000,0.05,100,200.0,-200.0
0.9,0.1,10000,0.0,50,181.48,-181.48
0.9,0.1,10000,0.0,100,195.03,-195.03
0.9,0.1,10000,0.005,50,183.06,-183.06
0.9,0.1,10000,0.005,100,175.27,-175.27
0.9,0.1,10000,0.05,50,200.0,-200.0
0.9,0.1,10000,0.05,100,200.0,-200.0
0.9,0.01,10,0.0,50,200.0,-200.0
0.9,0.01,10,0.0,100,200.0,-200.0
0.9,0.01,10,0.005,50,200.0,-200.0
0.9,0.01,10,0.005,100,200.0,-200.0
0.9,0.01,10,0.05,50,200.0,-200.0
0.9,0.01,10,0.05,100,200.0,-200.0
0.9,0.01,50,0.0,50,200.0,-200.0
0.9,0.01,50,0.0,100,200.0,-200.0
0.9,0.01,50,0.005,50,200.0,-200.0
0.9,0.01,50,0.005,100,200.0,-200.0
0.9,0.01,50,0.05,50,200.0,-200.0
0.9,0.01,50,0.05,100,200.0,-200.0
0.9,0.01,100,0.0,50,200.0,-200.0
0.9,0.01,100,0.0,100,200.0,-200.0
0.9,0.01,100,0.005,50,200.0,-200.0
0.9,0.01,100,0.005,100,200.0,-200.0
0.9,0.01,100,0.05,50,200.0,-200.0
0.9,0.01,100,0.05,100,200.0,-200.0
0.9,0.01,500,0.0,50,200.0,-200.0
0.9,0.01,500,0.0,100,200.0,-200.0
0.9,0.01,500,0.005,50,200.0,-200.0
0.9,0.01,500,0.005,100,200.0,-200.0
0.9,0.01,500,0.05,50,200.0,-200.0
0.9,0.01,500,0.05,100,200.0,-200.0
0.9,0.01,1000,0.0,50,200.0,-200.0
0.9,0.01,1000,0.0,100,200.0,-200.0
0.9,0.01,1000,0.005,50,200.0,-200.0
0.9,0.01,1000,0.005,100,200.0,-200.0
0.9,0.01,1000,0.05,50,200.0,-200.0
0.9,0.01,1000,0.05,100,200.0,-200.0
0.9,0.01,5000,0.0,50,200.0,-200.0
0.9,0.01,5000,0.0,100,192.58,-192.58
0.9,0.01,5000,0.005,50,160.0,-160.0
0.9,0.01,5000,0.005,100,158.51,-158.51
0.9,0.01,5000,0.05,50,162.46,-162.46
0.9,0.01,5000,0.05,100,188.04,-188.04
0.9,0.01,10000,0.0,50,193.02,-193.02
0.9,0.01,10000,0.0,100,137.03,-137.03
0.9,0.01,10000,0.005,50,171.38,-171.38
0.9,0.01,10000,0.005,100,197.76,-197.76
0.9,0.01,10000,0.05,50,124.64,-124.64
0.9,0.01,10000,0.05,100,175.62,-175.62
